Authors,Titles,Year,Page count,Link
Hwang D.Y.; Ng P.C.; Yu Y.; Wang Y.; Spachos P.; Hatzinakos D.; Plataniotis K.N.,HIERARCHICAL DEEP LEARNING MODEL WITH INERTIAL AND PHYSIOLOGICAL SENSORS FUSION FOR WEARABLE-BASED HUMAN ACTIVITY RECOGNITION,2022,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131234164&doi=10.1109%2fICASSP43922.2022.9747471&partnerID=40&md5=981ab79bb2190d7a03fe53b0ebd2e892
Kumar P.; Suresh S.,DeepTransHHAR: Inter-subjects Heterogeneous Activity Recognition Approach in the Non-identical Environment Using Wearable Sensors,2022,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131075358&doi=10.1007%2fs40009-022-01126-6&partnerID=40&md5=b43f380832311783e18dee6cec67d8d7
Manivannan A.; Willemse E.J.; B. T B.; Chin W.C.B.; Zhou Y.; Tuncer B.; Barrat A.; Bouffanais R.,A Framework for the Identification of Human Vertical Displacement Activity Based on Multi-Sensor Data,2022,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126323398&doi=10.1109%2fJSEN.2022.3157806&partnerID=40&md5=8ac04c4c5d482e3bdefbe1cd1a0466fd
Wang J.; Chen Y.; Gu Y.,A wearable-HAR oriented sensory data generation method based on spatio-temporal reinforced conditional GANs,2022,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123381102&doi=10.1016%2fj.neucom.2021.12.097&partnerID=40&md5=b532c785421172f906bb938ad44df4bd
Fan Y.-C.; Tseng Y.-H.; Wen C.-Y.,A Novel Deep Neural Network Method for HAR-Based Team Training Using Body-Worn Inertial Sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141862936&doi=10.3390%2fs22218507&partnerID=40&md5=6cb4386f62d69e8a1ae240d9f12a731b
Hnoohom N.; Maitrichit N.; Mekruksavanich S.; Jitpattanakul A.,Hierarchical Human Activity Recognition Based on Smartwatch Sensors Using Branch Convolutional Neural Networks,2022,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142673585&doi=10.1007%2f978-3-031-20992-5_5&partnerID=40&md5=66b11a6a6f9e59fae24becf3556f78b5
Ghalan M.; Aggarwal R.K.,Daily life human activities recognition using a novel AR-DenseNet,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131858949&doi=10.1002%2fcpe.7142&partnerID=40&md5=647b8c246dbd82429af3e9af6e439cdd
Teng Q.; Zhang L.; Tang Y.; Song S.; Wang X.; He J.,Block-Wise Training Residual Networks on Multi-Channel Time Series for Human Activity Recognition,2021,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107364225&doi=10.1109%2fJSEN.2021.3085360&partnerID=40&md5=24d5cf506674172259d2e98b054b8355
Fatima S.,Activity Recognition in Older Adults with Training Data from Younger Adults: Preliminary Results on in Vivo Smartwatch Sensor Data,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119296801&doi=10.1145%2f3441852.3476475&partnerID=40&md5=8371dd6098d1e0c0d7b97ddecc6ec057
Balabka D.; Shkliarenko D.,Human activity recognition with AutoML using smartphone radio data,2021,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115918019&doi=10.1145%2f3460418.3479377&partnerID=40&md5=d1cc963a3a96a1d8ad8a4830690d6ce4
Malekzadeh M.; Clegg R.; Cavallaro A.; Haddadi H.,DANA: Dimension-Adaptive Neural Architecture for Multivariate Sensor Data,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115162811&doi=10.1145%2f3478074&partnerID=40&md5=e49428b90c58e678a75243b10160c75e
Abbas M.; Somme D.; Le Bouquin Jeannès R.,D-SORM: A digital solution for remote monitoring based on the attitude of wearable devices,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110324427&doi=10.1016%2fj.cmpb.2021.106247&partnerID=40&md5=f8ec27e72e9cd92de7e52316f40deb1b
Mekruksavanich S.; Hnoohom N.; Jitpattanakul A.,A Hybrid Deep Residual Network for Efficient Transitional Activity Recognition Based on Wearable Sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130719415&doi=10.3390%2fapp12104988&partnerID=40&md5=a1ff518b3cc27d15c0fcb1e45d85cd8c
Wang F.; Liu J.; Gong W.,Multi-Adversarial In-Car Activity Recognition Using RFIDs,2021,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105565045&doi=10.1109%2fTMC.2020.2977902&partnerID=40&md5=a6ec6962a938512fd60c5fe4128dffcc
Mekruksavanich S.; Jantawong P.; Hnoohom N.; Jitpattanakul A.,ResNet-based Network for Recognizing Daily and Transitional Activities based on Smartphone Sensors,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141642401&doi=10.1109%2fIBDAP55587.2022.9907111&partnerID=40&md5=9d7a7f5f3f4c63533f61b5f58e492bed
Mekruksavanich S.; Jantawong P.; Jitpattanakul A.,A Lightweight Deep Convolutional Neural Network with Squeeze-and-Excitation Modules for Efficient Human Activity Recognition using Smartphone Sensors,2021,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117483798&doi=10.1109%2fIBDAP52511.2021.9552111&partnerID=40&md5=59c77cd2df4124ec9fba9caa06b83241
Mubibya G.S.; Almhana J.,Improving Human Activity Recognition using ML and Wearable Sensors,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135357222&doi=10.1109%2fICC45855.2022.9839267&partnerID=40&md5=2f26ba60868dd305651fd11571f63507
Almusawi A.; Ali A.H.,Efficient Human Activity Recognition System Using Long Short-Term Memory,2022,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127926665&doi=10.1007%2f978-3-030-98741-1_7&partnerID=40&md5=c0a606500fd0b644a768eae876a0444a
Abid M.; Khabou A.; Ouakrim Y.; Watel H.; Chemcki S.; Mitiche A.; Benazza-Benyahia A.; Mezghani N.,Physical activity recognition based on a parallel approach for an ensemble of machine learning and deep learning classifiers,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109294924&doi=10.3390%2fs21144713&partnerID=40&md5=df2d169efd5a8866418c7c26d6a1010d
Kowshik M.A.; Pritom Y.A.; Rahman M.S.; Akbar A.; Ahad M.A.R.,Nurse Care Activity Recognition from Accelerometer Sensor Data Using Fourier-and Wavelet-based Features,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115965324&doi=10.1145%2f3460418.3479387&partnerID=40&md5=b3199727b6040b19d7844c65b86a6380
Nebogatikov I.Y.; Soloviev I.P.,Human activity recognition by wearable sensors in the smart home control problem,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107398151&doi=10.1088%2f1742-6596%2f1864%2f1%2f012112&partnerID=40&md5=4c28ea42b4ac8c7e3c6cbda4cf45a2cd
Al-qaness M.A.A.; Helmi A.M.; Dahou A.; Elaziz M.A.,The Applications of Metaheuristics for Human Activity Recognition and Fall Detection Using Wearable Sensors: A Comprehensive Analysis,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140414098&doi=10.3390%2fbios12100821&partnerID=40&md5=f34d836b786e7295f003d71b8b88fd1a
Falaschetti L.; Biagetti G.; Crippa P.; Alessandrini M.; Giacomo D.F.; Turchetti C.,A Lightweight and Accurate RNN in Wearable Embedded Systems for Human Activity Recognition,2022,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135910981&doi=10.1007%2f978-981-19-3444-5_40&partnerID=40&md5=6afe5f7409c84485bb39f784c3da0d71
Jaén-Vargas M.; Leiva K.M.R.; Fernandes F.; Goncalves S.B.; Silva M.T.; Lopes D.S.; Olmedo J.J.S.,Effects of sliding window variation in the performance of acceleration-based human activity recognition using deep learning models,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136641741&doi=10.7717%2fPEERJ-CS.1052&partnerID=40&md5=11804bd2c4698973991436fa7448b912
Athota R.K.; Sumathi D.,Human activity recognition based on hybrid learning algorithm for wearable sensor data,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140217337&doi=10.1016%2fj.measen.2022.100512&partnerID=40&md5=cf1980d7a5430684361696ada971a50d
Tanigaki K.; Teoh T.C.; Yoshimura N.; Maekawa T.; Hara T.,Predicting Performance Improvement of Human Activity Recognition Model by Additional Data Collection,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139234358&doi=10.1145%2f3550319&partnerID=40&md5=4191ceebe5046ebfe1db504a70d64abc
Klingenberg A.; Purrucker V.; Schuler W.; Ganapathy N.; Spicher N.; Deserno T.M.,Human activity recognition from textile electrocardiograms,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138128396&doi=10.1109%2fEMBC48229.2022.9871210&partnerID=40&md5=d14363eb10193f3d0ff23e24ff656d02
Tang B.; Guan W.,CNN Multi-Position Wearable Sensor Human Activity Recognition Used in Basketball Training,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138921398&doi=10.1155%2f2022%2f9918143&partnerID=40&md5=9e479fa3d3f2a5d1187f999ccb96dab2
Hnoohom N.; Jitpattanakul A.; You I.; Mekruksavanich S.,Deep Learning Approach for Complex Activity Recognition using Heterogeneous Sensors from Wearable Device,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118385641&doi=10.1109%2fRI2C51727.2021.9559773&partnerID=40&md5=e91fd67c6e177d9778989efd9e13ea79
Khatun M.A.; Yousuf M.A.; Ahmed S.; Uddin M.Z.; Alyami S.A.; Al-Ashhab S.; Akhdar H.F.; Khan A.; Azad A.; Moni M.A.,Deep CNN-LSTM With Self-Attention Model for Human Activity Recognition Using Wearable Sensor,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130798473&doi=10.1109%2fJTEHM.2022.3177710&partnerID=40&md5=a4544a4e5ae4e5c19b609ec4b9c52463
Varshney N.; Bakariya B.; Kushwaha A.K.S.; Khare M.,Human activity recognition by combining external features with accelerometer sensor data using deep learning network model,2022,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122155290&doi=10.1007%2fs11042-021-11313-0&partnerID=40&md5=aaef54a2e747a7eec507824f456e6931
Chakma A.; Faridee A.Z.M.; Rao R.; Roy N.,Semi-supervised Multi-source Domain Adaptation in Wearable Activity Recognition,2022,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139410355&doi=10.1109%2fDCOSS54816.2022.00017&partnerID=40&md5=0c23de9705d33a2d490524664758896e
Agarwal P.; Alam M.,Quantum-Inspired Support Vector Machines for Human Activity Recognition in Industry 4.0,2022,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122436390&doi=10.1007%2f978-981-16-6289-8_24&partnerID=40&md5=afe96fe0349df2231a6149a43620fe36
Doddabasappla K.; Vyas R.,Statistical and Machine Learning-Based Recognition of Coughing Events Using Triaxial Accelerometer Sensor Data from Multiple Wearable Points,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104686093&doi=10.1109%2fLSENS.2021.3074183&partnerID=40&md5=e38bac7ba57e4acafbe1e80d4376b7cb
Mekruksavanich S.; Jitpattanakul A.; Sitthithakerngkiet K.; Youplao P.; Yupapin P.,ResNet-SE: Channel Attention-Based Deep Residual Network for Complex Activity Recognition Using Wrist-Worn Wearable Sensors,2022,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130829527&doi=10.1109%2fACCESS.2022.3174124&partnerID=40&md5=98cf20c7f8bbf9911cf816fb0f1a8a8e
Brard R.; Bellanger L.; Chevreuil L.; Doistau F.; Drouin P.; Stamm A.,A Novel Walking Activity Recognition Model for Rotation Time Series Collected by a Wearable Sensor in a Free-Living Environment,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129374250&doi=10.3390%2fs22093555&partnerID=40&md5=641366f88ab89cc4bfa7efd85f214fec
Hamidi M.; Osmani A.,Domain models for data sources integration in HAR,2021,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098093961&doi=10.1016%2fj.neucom.2020.06.138&partnerID=40&md5=71a3f972dc9c0cf6720c4abc6b50a248
Hamad R.A.; Kimura M.; Yang L.; Woo W.L.; Wei B.,Dilated causal convolution with multi-head self attention for sensor human activity recognition,2021,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105741442&doi=10.1007%2fs00521-021-06007-5&partnerID=40&md5=1e6520c81f4aea8003566ef140b32203
Krishna K.S.; Paneerselvam S.,An Implementation of Hybrid CNN-LSTM Model for Human Activity Recognition,2022,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134329287&doi=10.1007%2f978-981-19-1111-8_63&partnerID=40&md5=e205d6f3448a3d6fda425dd2809cb1a3
Hussain Z.; Waterworth D.; Mahmood A.; Sheng Q.Z.; Zhang W.E.,Dataset for toothbrushing activity using brush-attached and wearable sensors,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109125245&doi=10.1016%2fj.dib.2021.107248&partnerID=40&md5=d25fe15854694e47f3eb85d60a2ec485
Hussain Z.; Waterworth D.; Aldeer M.; Zhang W.E.; Sheng Q.Z.; Ortiz J.,Do You Brush Your Teeth Properly? An Off-body Sensor-based Approach for Toothbrushing Monitoring,2021,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119481642&doi=10.1109%2fICDH52753.2021.00018&partnerID=40&md5=79c21c4b9069dbd7e544dd7f2002472f
Lin B.-Y.; Lin Y.-D.,A Clustering-based Feature Selection for Automatic Labeling in Human Activity Recognition,2022,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129225809&doi=10.1109%2fLifeTech53646.2022.9754929&partnerID=40&md5=ba4c19790246613a5874df75b5bd885b
Wang X.; Zhang L.; Huang W.; Wang S.; Wu H.; He J.; Song A.,Deep Convolutional Networks with Tunable Speed-Accuracy Tradeoff for Human Activity Recognition Using Wearables,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120572155&doi=10.1109%2fTIM.2021.3132088&partnerID=40&md5=e14101d7279349c059d1f84a65309bfc
Dogan G.; Sturdivant J.D.; Ari S.; Kurpiewski E.,Locomotion-Transportation Recognition via LSTM and GPS Derived Feature Engineering from Cell Phone Data,2021,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115949067&doi=10.1145%2f3460418.3479379&partnerID=40&md5=5c4d3153c98ad0665535255242ff6baf
Uddin M.Z.; Soylu A.,"Human activity recognition using wearable sensors, discriminant analysis, and long short-term memory-based neural structured learning",2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112571882&doi=10.1038%2fs41598-021-95947-y&partnerID=40&md5=f52f341f91f90a742e3b5599fcf027d2
Csizmadia G.; Liszkai-Peres K.; Ferdinandy B.; Miklósi Á.; Konok V.,Human activity recognition of children with wearable devices using LightGBM machine learning,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127446979&doi=10.1038%2fs41598-022-09521-1&partnerID=40&md5=cd0fffe01628421dd1ef6b14acdc17f3
Alharbi F.; Ouarbya L.; Ward J.A.,Comparing Sampling Strategies for Tackling Imbalanced Data in Human Activity Recognition,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124269682&doi=10.3390%2fs22041373&partnerID=40&md5=b13f87d23ead94a0a9622754808844c0
Gil-Martín M.; Johnston W.; San-Segundo R.; Caulfield B.,Scoring performance on the y-balance test using a deep learning approach,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117931559&doi=10.3390%2fs21217110&partnerID=40&md5=ae4b4eeffa9d2f60dfd0617c1ee75228
Ramirez H.; Velastin S.A.; Aguayo P.; Fabregas E.; Farias G.,Human Activity Recognition by Sequences of Skeleton Features,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130827016&doi=10.3390%2fs22113991&partnerID=40&md5=dac8aef7731a7b87205e79131b25f57c
Lamsa A.; Tervonen J.; Liikka J.; Casado C.A.; Bordallo Lopez M.,Video2IMU: Realistic IMU features and signals from videos,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142211291&doi=10.1109%2fBSN56160.2022.9928466&partnerID=40&md5=19f6734c46cd5e38a84ef4293d31a07d
Sanchez Guinea A.; Sarabchian M.; Mühlhäuser M.,Improving Wearable-Based Activity Recognition Using Image Representations,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126490515&doi=10.3390%2fs22051840&partnerID=40&md5=deea7e30bfba84409c684991384ebd84
Yen C.-T.; Liao J.-X.; Huang Y.-K.,Feature fusion of a deep-learning algorithm into wearable sensor devices for human activity recognition,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120973143&doi=10.3390%2fs21248294&partnerID=40&md5=c13c19088b4535fc3b3ec7a4794b1034
Tang Y.; Zhang L.; Min F.; He J.,Multiscale Deep Feature Learning for Human Activity Recognition Using Wearable Sensors,2023,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127479279&doi=10.1109%2fTIE.2022.3161812&partnerID=40&md5=a932f6c5ec8b8e08abc1db7f590622b0
Bassani G.; Filippeschi A.; Avizzano C.A.,A Dataset of Human Motion and Muscular Activities in Manual Material Handling Tasks for Biomechanical and Ergonomic Analyses,2021,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115120016&doi=10.1109%2fJSEN.2021.3113123&partnerID=40&md5=8f3f6651dcc72d833c3feecc6f4e8fd3
Fan C.; Gao F.,Enhanced human activity recognition using wearable sensors via a hybrid feature selection method,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115605234&doi=10.3390%2fs21196434&partnerID=40&md5=4eb0f313057d1a6402d3413db2c7d7e4
Li J.; Wang Z.; Zhao Z.; Jin Y.; Yin J.; Huang S.-L.; Wang J.,TriboGait: A deep learning enabled triboelectric gait sensor system for human activity recognition and individual identification,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115966094&doi=10.1145%2f3460418.3480410&partnerID=40&md5=d494248c706de94ba166085aae85a548
Vidya B.; P S.,Wearable multi-sensor data fusion approach for human activity recognition using machine learning algorithms,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129504726&doi=10.1016%2fj.sna.2022.113557&partnerID=40&md5=33634648546c37c88beb1dbfa1b85fa7
Cuperman R.; Jansen K.M.B.; Ciszewski M.G.,An End-to-End Deep Learning Pipeline for Football Activity Recognition Based on Wearable Acceleration Sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124291672&doi=10.3390%2fs22041347&partnerID=40&md5=e2956bf3a60f5ba72c52b817da9cf067
Dhiravidachelvi E.; Suresh Kumar M.; Vijay Anand L.D.; Pritima D.; Kadry S.; Kang B.-G.; Nam Y.,Intelligent Deep Learning Enabled Human Activity Recognition for Improved Medical Services,2023,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133199971&doi=10.32604%2fcsse.2023.024612&partnerID=40&md5=4d41856915d167e9310f912cb00db847
Roshni Thanka M.; Juliet S.; Bijolin Edwin E.; Raahul John R.,Deep Learning-Based Big Data Analytics Model for Activity Monitoring of Elderly People,2022,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135798621&doi=10.1007%2f978-981-19-2177-3_55&partnerID=40&md5=2f49b068b6541fed972a06f827eb792a
Pei L.; Xia S.; Chu L.; Xiao F.; Wu Q.; Yu W.; Qiu R.,MARS: Mixed Virtual and Real Wearable Sensors for Human Activity Recognition with Multidomain Deep Learning Model,2021,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100776537&doi=10.1109%2fJIOT.2021.3055859&partnerID=40&md5=93f94603afbcab65817894b7295aabcb
Asuroglu T.,Complex Human Activity Recognition Using a Local Weighted Approach,2022,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139455366&doi=10.1109%2fACCESS.2022.3208686&partnerID=40&md5=6061b950730c57f1888ef1a00a4ec99a
Pham C.; Nguyen L.; Nguyen A.; Nguyen N.; Nguyen V.-T.,Combining skeleton and accelerometer data for human fine-grained activity recognition and abnormal behaviour detection with deep temporal convolutional networks,2021,21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107873755&doi=10.1007%2fs11042-021-11058-w&partnerID=40&md5=67588b17321e7102337d6104f52d4d02
Wang K.; He J.; Zhang L.,Sequential Weakly Labeled Multiactivity Localization and Recognition on Wearable Sensors Using Recurrent Attention Networks,2021,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111635207&doi=10.1109%2fTHMS.2021.3086008&partnerID=40&md5=c6460c58a2c19b3d7cef90bff380d89f
Wang X.; Wang X.; Lv T.; Jin L.; He M.,HARNAS: Human activity recognition based on automatic neural architecture search using evolutionary algorithms,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117246583&doi=10.3390%2fs21206927&partnerID=40&md5=99850680525ee61f2f85b4d71f6fdec6
Mekruksavanich S.; Jitpattanakul A.,Deep convolutional neural network with rnns for complex activity recognition using wrist-worn wearable sensor data,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109963599&doi=10.3390%2felectronics10141685&partnerID=40&md5=1a930be0a26e5a5759386a05ec96d013
Al-Qaness M.A.A.; Dahou A.; Elaziz M.A.; Helmi A.M.,Multi-ResAtt: Multilevel Residual Network With Attention for Human Activity Recognition Using Wearable Sensors,2023,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128303592&doi=10.1109%2fTII.2022.3165875&partnerID=40&md5=fde546843ad54fcce7d6542ee40c99d4
Antonio Santoyo-Ramón J.; Casilari E.; Manuel Cano-García J.,A study of the influence of the sensor sampling frequency on the performance of wearable fall detectors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125585745&doi=10.1016%2fj.measurement.2022.110945&partnerID=40&md5=144ccb83dd64535559f2693f855ca623
Qiu S.; Zhao H.; Jiang N.; Wang Z.; Liu L.; An Y.; Zhao H.; Miao X.; Liu R.; Fortino G.,Multi-sensor information fusion based on machine learning for real applications in human activity recognition: State-of-the-art and research challenges,2022,24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119905587&doi=10.1016%2fj.inffus.2021.11.006&partnerID=40&md5=bfb53d7ba6190799275502ac970b8d97
Mekruksavanich S.; Jitpattanakul A.,CNN-Based Deep Learning Network for Human Activity Recognition During Physical Exercise from Accelerometer and Photoplethysmographic Sensors,2022,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130912303&doi=10.1007%2f978-981-19-0898-9_42&partnerID=40&md5=7bbbc3221de8725abb9545f2638dd9a1
Dua N.; Singh S.N.; Semwal V.B.,Multi-input CNN-GRU based human activity recognition using wearable sensors,2021,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102461693&doi=10.1007%2fs00607-021-00928-8&partnerID=40&md5=4806ec0dc9759162c07b3201ccf14ef9
Zhao S.; Wei H.; Zhang K.,Deep Bidirectional GRU network for human activity recognition using Wearable inertial sensors,2022,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128788705&doi=10.1109%2fIWECAI55315.2022.00054&partnerID=40&md5=6bf97dfe94e0354648c66f681b84feae
Verma U.; Tyagi P.; Kaur M.,Single Input Single Head CNN-GRU-LSTM Architecture for Recognition of Human Activities,2022,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134033270&doi=10.52549%2fijeei.v10i2.3475&partnerID=40&md5=6d780424c4b9bbac70c28db1f1ec2a36
Woodward K.; Kanjo E.; Taylor K.; Hunt J.A.,A multi-sensor deep learning approach for complex daily living activity recognition,2022,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135030889&doi=10.1145%2f3539494.3542753&partnerID=40&md5=abce34d02dfe457c1901f91d1beb82c7
Gil-Martín M.; San-Segundo R.; Fernández-Martínez F.; Ferreiros-López J.,Time Analysis in Human Activity Recognition,2021,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112075758&doi=10.1007%2fs11063-021-10611-w&partnerID=40&md5=14f7c62cca45174182646ff145b027b9
Hoai Thu N.T.; Han D.S.,An Investigation on Deep Learning-Based Activity Recognition Using IMUs and Stretch Sensors,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127696246&doi=10.1109%2fICAIIC54071.2022.9722621&partnerID=40&md5=276834fc9dd845fce26cca98edecd766
